t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g3r1	g3r2	g3ave	g4r1	g4r2	g4ave
0.0000	0.38403	0.16354	0.27378	0.19097	0.10155	0.14626	0.39837	0.022121	0.21024	0.19546	0.27271	0.23408
0.0020000	0.11320	-0.066967	0.023117	-0.0091640	-0.010707	-0.0099355	-0.086767	-0.15184	-0.11930	-0.055508	0.097068	0.020780
0.0040000	0.26455	0.084054	0.17430	0.11091	0.069475	0.090195	-0.024570	0.14638	0.060903	0.13272	0.15980	0.14626
0.0060000	0.38403	0.47353	0.42878	0.19097	0.26191	0.22644	0.21178	0.27063	0.24121	0.19546	0.33543	0.26545
0.0080000	-0.15763	0.0045690	-0.076530	-0.081212	0.069475	-0.0058685	-0.14896	-0.10214	-0.12555	-0.23118	-0.15384	-0.19251
0.0100000	0.033546	0.12380	0.078671	0.030862	0.14164	0.086250	0.025187	0.084249	0.054718	-0.055508	-0.028387	-0.041947
0.012000	-0.046110	0.044312	-0.00089900	-0.0091640	0.10155	0.046192	-0.086767	0.084249	-0.0012590	-0.18099	0.034340	-0.073325
0.014000	-0.31694	-0.41670	-0.36682	-0.12124	-0.050798	-0.086018	-0.33555	-0.27610	-0.30582	-0.35667	-0.27930	-0.31798
0.016000	-0.0062820	0.0045690	-0.00085650	0.11091	0.14164	0.12628	0.14958	-0.040008	0.054786	0.13272	0.097068	0.11489
0.018000	-0.11780	-0.066967	-0.092384	0.030862	0.029384	0.030123	0.087384	-0.040008	0.023688	0.0072340	0.034340	0.020787
0.020000	-0.27711	-0.33721	-0.30716	-0.0091640	-0.090889	-0.050026	0.087384	-0.10214	-0.0073760	-0.11825	-0.27930	-0.19877
0.022000	0.15303	0.16354	0.15828	0.19097	0.18173	0.18635	0.33617	0.27063	0.30340	0.19546	0.20998	0.20272
0.024000	-0.15763	-0.14645	-0.15204	-0.049190	0.069475	0.010143	-0.086767	0.022121	-0.032323	-0.11825	0.034340	-0.041954
0.026000	-0.046110	-0.14645	-0.096281	-0.12124	0.069475	-0.025881	-0.21116	-0.10214	-0.15665	0.13272	-0.028387	0.052165
0.028000	0.26455	0.24302	0.25379	0.11091	0.18173	0.14632	0.14958	0.084249	0.11692	0.32094	0.46089	0.39092
0.030000	-0.11780	-0.26568	-0.19174	-0.12124	-0.13098	-0.12611	-0.086767	-0.33822	-0.21249	-0.11825	-0.15384	-0.13605
0.032000	0.15303	-0.066967	0.043031	-0.0091640	0.029384	0.010110	0.14958	-0.040008	0.054786	0.25820	-0.091115	0.083542
0.034000	0.26455	0.20328	0.23391	0.070888	0.18173	0.12631	0.087384	0.33276	0.21007	0.13272	0.15980	0.14626
0.036000	-0.15763	-0.18619	-0.17191	-0.12124	-0.050798	-0.086018	-0.27336	-0.10214	-0.18775	-0.18099	-0.21657	-0.19878
0.038000	0.073374	0.24302	0.15820	0.030862	0.10155	0.066205	-0.024570	0.27063	0.12303	0.19546	0.034340	0.11490
0.040000	-0.11780	0.12380	0.0029980	-0.081212	0.029384	-0.025914	-0.086767	0.022121	-0.032323	-0.18099	-0.028387	-0.10469
0.042000	-0.46829	-0.30542	-0.38685	-0.16126	-0.17107	-0.16617	-0.27336	-0.33822	-0.30579	-0.41941	-0.27930	-0.34935
