t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g3r1	g3r2	g3ave	g4r1	g4r2	g4ave
0.0000	-0.051370	0.14396	0.046295	-0.074353	0.14368	0.034665	-0.069187	0.095592	0.013202	-0.11087	0.11686	0.0029935
0.0020000	0.069121	0.10380	0.086459	-0.074353	0.023360	-0.025497	0.11830	0.033098	0.075697	0.014715	-0.13431	-0.059799
0.0040000	0.49485	-0.17735	0.15875	0.19838	-0.088941	0.054719	0.23078	-0.029396	0.10069	0.50449	-0.13431	0.18509
0.0060000	0.14945	0.17609	0.16277	0.16629	0.10357	0.13493	0.055801	0.28308	0.16944	-0.048076	0.29267	0.12230
0.0080000	0.069121	-0.056859	0.0061310	0.045970	-0.088941	-0.021486	-0.0066930	-0.14189	-0.074290	0.077507	-0.19710	-0.059799
0.0100000	0.10928	-0.13719	-0.013951	-0.034245	-0.088941	-0.061593	0.23078	-0.14189	0.044450	0.014715	-0.31013	-0.14771
0.012000	-0.28432	0.10380	-0.090262	-0.11446	0.18379	0.034665	-0.31916	0.22058	-0.049292	-0.41227	0.29267	-0.059798
0.014000	-0.091534	-0.13719	-0.11436	0.0058630	-0.016747	-0.0054420	-0.069187	-0.029396	-0.049291	-0.11087	-0.071521	-0.091194
0.016000	0.069121	0.10380	0.086459	-0.074353	0.023360	-0.025497	0.11830	-0.14189	-0.011795	-0.22389	-0.0087290	-0.11631
0.018000	-0.13170	0.25642	0.062360	-0.11446	0.14368	0.014612	-0.13168	0.45806	0.16319	-0.11087	0.29267	0.090902
0.020000	0.30207	-0.056859	0.12261	0.19838	-0.088941	0.054719	0.35577	-0.079392	0.13819	0.20309	-0.31013	-0.053519
0.022000	0.14945	0.10380	0.12662	0.045970	0.063468	0.054719	0.055801	0.033098	0.044450	0.14030	0.11686	0.12858
0.024000	-0.091534	0.023469	-0.034033	-0.11446	-0.088941	-0.10170	-0.0066930	0.15809	0.075696	-0.048076	0.054063	0.0029935
0.026000	0.26191	-0.28981	-0.013951	0.12618	-0.088941	0.018622	0.11830	-0.32937	-0.10554	0.20309	-0.24734	-0.022124
0.028000	-0.17186	0.063632	-0.054114	-0.18665	0.063468	-0.061593	-0.31916	0.095592	-0.11179	-0.048076	0.17965	0.065785
0.030000	-0.13170	-0.097022	-0.11436	-0.11446	-0.12905	-0.12175	-0.13168	0.033098	-0.049292	-0.11087	-0.13431	-0.12259
0.032000	0.14945	-0.016695	0.066377	0.045970	-0.016747	0.014612	0.055801	-0.20438	-0.074290	0.20309	-0.0087290	0.097181
0.034000	-0.011207	0.21625	0.10252	-0.074353	0.023360	-0.025497	0.055801	0.34557	0.20069	0.077507	0.29267	0.18509
0.036000	0.14945	0.023469	0.086459	0.12618	-0.20926	-0.041539	0.11830	-0.029396	0.044450	0.14030	-0.13431	0.0029935
0.038000	0.18158	0.023469	0.10252	0.12618	0.023360	0.074772	0.35577	-0.029396	0.16319	0.32867	-0.0087290	0.15997
0.040000	-0.011207	0.25642	0.12261	-0.074353	0.14368	0.034665	-0.0066930	0.40806	0.20069	-0.22389	0.29267	0.034390
0.042000	0.10928	-0.20948	-0.050099	0.12618	-0.20926	-0.041539	0.16829	-0.26687	-0.049292	0.077507	-0.13431	-0.028403
0.044000	-0.13170	-0.016695	-0.074197	-0.034245	0.10357	0.034665	-0.0066930	0.033098	0.013203	-0.16110	-0.071521	-0.11631
0.046000	-0.28432	0.063632	-0.11034	-0.11446	0.063468	-0.025496	-0.31916	0.095592	-0.11179	-0.41227	0.17965	-0.11631
0.048000	0.10928	-0.24964	-0.070180	-0.034245	-0.12905	-0.081647	0.055801	-0.079392	-0.011796	0.014715	-0.37292	-0.17910
0.050000	-0.051370	0.14396	0.046295	-0.034245	0.063468	0.014612	-0.069187	0.15809	0.044450	-0.16110	0.054063	-0.053519
0.052000	-0.091534	0.063632	-0.013951	0.086078	0.10357	0.094827	-0.0066930	0.033098	0.013203	0.077507	0.17965	0.12858
0.054000	0.49485	-0.20948	0.14269	0.27859	-0.16916	0.054719	0.29328	0.15809	0.22568	0.37891	-0.19710	0.090902
0.056000	0.028957	0.14396	0.086458	0.045970	0.10357	0.074772	0.11830	0.28308	0.20069	-0.11087	0.054063	-0.028402
0.058000	-0.051370	-0.097022	-0.074196	0.0058630	0.023360	0.014612	0.16829	-0.079392	0.044450	0.20309	0.054063	0.12858
0.060000	0.069121	-0.17735	-0.054114	0.0058630	-0.088941	-0.041539	-0.0066930	-0.029396	-0.018044	0.014715	-0.0087290	0.0029930
0.062000	-0.32448	0.21625	-0.054115	-0.30698	0.063468	-0.12175	-0.19418	0.22058	0.013202	-0.41227	0.17965	-0.11631
0.064000	-0.011207	-0.13719	-0.074197	-0.11446	-0.088941	-0.10170	0.055801	-0.029396	0.013203	0.077507	-0.071521	0.0029930
0.066000	0.028957	0.14396	0.086458	0.12618	-0.016747	0.054719	0.11830	-0.029396	0.044450	0.014715	0.054063	0.034389
0.068000	-0.051370	0.17609	0.062360	-0.034245	0.023360	-0.0054425	-0.19418	0.28308	0.044450	-0.16110	0.24244	0.040668
0.070000	0.30207	-0.13719	0.082442	0.19838	-0.088941	0.054719	0.41827	-0.029396	0.19444	0.20309	-0.19710	0.0029935
0.072000	0.14945	0.10380	0.12662	0.086078	0.063468	0.074773	0.23078	-0.14189	0.044450	0.077507	0.24244	0.15997
0.074000	-0.011207	-0.056859	-0.034033	0.045970	0.023360	0.034665	-0.19418	0.15809	-0.018045	-0.11087	0.17965	0.034389
0.076000	0.10928	-0.32997	-0.11034	0.086078	-0.20926	-0.061592	0.23078	-0.20438	0.013202	-0.048076	-0.43571	-0.24189
0.078000	-0.20399	0.17609	-0.013951	-0.22676	0.25598	0.014612	-0.25667	-0.14189	-0.19928	-0.28668	0.24244	-0.022123
0.080000	-0.17186	-0.056859	-0.11436	-0.034245	-0.088941	-0.061593	-0.13168	-0.029396	-0.080539	-0.28668	-0.0087290	-0.14771
0.082000	0.10928	-0.17735	-0.034033	0.12618	-0.12905	-0.0014315	-0.0066930	0.095592	0.044450	0.077507	-0.37292	-0.14771
0.084000	-0.051370	0.21625	0.082442	-0.15457	0.22390	0.034665	-0.13168	0.22058	0.044450	-0.11087	0.17965	0.034389
0.086000	0.18158	-0.056859	0.062360	0.16629	-0.12905	0.018622	0.11830	-0.029396	0.044450	0.20309	-0.0087290	0.097181
0.088000	0.38240	-0.097022	0.14269	0.16629	-0.088941	0.038676	0.16829	0.033098	0.10069	0.37891	-0.0087290	0.18509
0.090000	-0.091534	0.21625	0.062360	-0.034245	0.25598	0.11087	0.055801	0.40806	0.23193	0.014715	0.11686	0.065785
0.092000	0.069121	-0.17735	-0.054114	0.045970	-0.088941	-0.021486	0.11830	-0.20438	-0.043042	0.14030	0.054063	0.097181
0.094000	-0.011207	-0.097022	-0.054114	0.0058630	-0.056855	-0.025496	0.11830	0.033098	0.075697	-0.16110	0.054063	-0.053519
0.096000	-0.40481	0.14396	-0.13043	-0.18665	0.10357	-0.041540	-0.13168	0.22058	0.044450	-0.28668	-0.0087290	-0.14771
0.098000	-0.011207	-0.20948	-0.11034	0.0058630	-0.12905	-0.061593	0.055801	-0.26687	-0.10554	0.14030	-0.071521	0.034389
0.10000	-0.13170	0.10380	-0.013951	-0.034245	-0.016747	-0.025496	0.055801	0.15809	0.10694	-0.11087	0.11686	0.0029935
0.10200	0.069121	0.023469	0.046295	0.0058630	0.023360	0.014612	-0.0066930	0.15809	0.075696	0.077507	0.054063	0.065785
0.10400	0.38240	-0.20948	0.086458	0.19838	-0.016747	0.090816	0.48076	-0.14189	0.16944	0.26588	-0.071521	0.097181
0.10600	0.028957	0.14396	0.086458	0.086078	0.10357	0.094827	-0.13168	0.095592	-0.018045	-0.048076	0.35546	0.15369
0.10800	0.069121	-0.056859	0.0061310	0.045970	-0.056855	-0.0054425	-0.069187	-0.079392	-0.074290	0.014715	-0.071521	-0.028403
0.11000	0.069121	-0.20948	-0.070180	0.086078	-0.016747	0.034666	0.11830	0.095592	0.10694	0.077507	-0.13431	-0.028403
0.11200	-0.36465	0.21625	-0.074197	-0.18665	0.063468	-0.061593	-0.38166	0.15809	-0.11179	-0.28668	0.24244	-0.022123
0.11400	-0.13170	-0.17735	-0.15452	0.0058630	-0.16916	-0.081647	0.055801	-0.20438	-0.074290	-0.16110	-0.13431	-0.14771
0.11600	0.069121	0.063632	0.066376	-0.074353	0.023360	-0.025497	-0.0066930	0.22058	0.10694	0.014715	-0.19710	-0.091195
0.11800	-0.13170	0.21625	0.042278	-0.074353	0.14368	0.034665	0.11830	0.22058	0.16944	-0.11087	0.24244	0.065785
0.12000	0.10928	-0.28981	-0.090262	0.23849	-0.16916	0.034665	0.29328	-0.079392	0.10694	0.37891	-0.071521	0.15369
0.12200	0.14945	0.023469	0.086459	0.086078	0.10357	0.094827	0.23078	0.28308	0.25693	0.077507	-0.0087290	0.034389
0.12400	-0.13170	0.14396	0.0061310	-0.034245	0.18379	0.074772	0.055801	0.033098	0.044450	-0.16110	0.24244	0.040668
0.12600	0.028957	-0.37014	-0.17059	0.16629	-0.20926	-0.021485	0.11830	-0.26687	-0.074290	0.32867	-0.19710	0.065785
0.12800	-0.20399	0.063632	-0.070180	-0.11446	0.10357	-0.0054425	-0.19418	0.095592	-0.049292	-0.34948	0.054063	-0.14771
