t (s)	s61	s80	s100	s120	s140	s149	s189
8.4000	12.575	12.189	14.060	14.562	15.120	14.087	14.304
8.5000	12.745	12.353	14.253	14.764	15.333	14.281	14.501
8.6000	12.915	12.516	14.447	14.967	15.545	14.474	14.698
8.7000	13.084	12.680	14.640	15.169	15.758	14.668	14.894
8.8000	13.254	12.843	14.833	15.371	15.971	14.861	15.091
8.9000	13.423	13.007	15.026	15.574	16.184	15.055	15.288
9.0000	13.593	13.170	15.219	15.776	16.397	15.249	15.484
9.1000	13.762	13.334	15.413	15.978	16.609	15.442	15.681
9.2000	13.932	13.497	15.606	16.181	16.822	15.636	15.878
9.3000	14.102	13.661	15.799	16.383	17.035	15.829	16.075
9.4000	14.271	13.824	15.992	16.586	17.248	16.023	16.271
9.5000	14.441	13.987	16.185	16.788	17.461	16.216	16.468
9.6000	14.610	14.151	16.379	16.991	17.673	16.410	16.665
9.7000	14.780	14.314	16.572	17.193	17.886	16.604	16.862
9.8000	14.949	14.478	16.765	17.395	18.099	16.797	17.058
9.9000	15.119	14.641	16.958	17.598	18.312	16.991	17.255
