t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g3r1	g3r2	g3ave	g4r1	g4r2	g4ave
0.0000	-0.0077930	-0.029794	-0.018794	-0.020936	0.045888	0.012476	0.060280	-0.11388	-0.026801	0.075876	-0.061487	0.0071945
0.0020000	0.064052	0.20314	0.13359	-0.053153	0.086076	0.016461	0.060280	0.072407	0.066344	0.075876	0.25263	0.16425
0.0040000	-0.0077930	-0.078321	-0.043057	-0.020936	0.045888	0.012476	-0.064306	0.010311	-0.026997	-0.049984	0.0013370	-0.024324
0.0060000	0.14388	0.057555	0.10072	-0.093426	0.16645	0.036513	-0.12660	0.072407	-0.027096	0.012946	0.0013370	0.0071415
0.0080000	0.024138	0.15461	0.089373	-0.093426	0.16645	0.036513	-0.17643	0.010311	-0.083061	0.012946	0.12698	0.069965
0.0100000	-0.0077930	-0.17537	-0.091584	-0.020936	-0.034487	-0.027711	0.18487	-0.11388	0.035492	-0.049984	-0.11175	-0.080866
0.012000	0.064052	0.057555	0.060804	0.059609	0.12626	0.092936	0.12257	0.13450	0.12854	0.012946	0.18981	0.10138
0.014000	0.10397	0.0090280	0.056497	0.019336	0.12626	0.072799	-0.12660	0.072407	-0.027096	0.13881	0.064161	0.10148
0.016000	0.024138	-0.17537	-0.075618	0.019336	0.045888	0.032612	-0.12660	-0.23807	-0.18234	0.075876	-0.11175	-0.017935
0.018000	0.10397	0.20314	0.15355	0.059609	0.16645	0.11303	-0.0020130	0.072407	0.035197	0.20174	0.0013370	0.10154
0.020000	0.064052	0.057555	0.060804	0.019336	0.0057010	0.012518	0.060280	-0.17598	-0.057849	-0.11291	-0.11175	-0.11233
0.022000	0.14388	-0.078321	0.032779	-0.093426	-0.034487	-0.063956	-0.0020130	-0.23807	-0.12004	0.012946	-0.11175	-0.049400
0.024000	0.064052	0.15461	0.10933	0.019336	0.045888	0.032612	0.060280	-0.11388	-0.026801	0.012946	0.064161	0.038554
0.026000	-0.0077930	0.0090280	0.00061750	-0.020936	-0.074674	-0.047805	-0.0020130	-0.17598	-0.088995	0.012946	-0.061487	-0.024271
0.028000	0.024138	0.15461	0.089373	0.059609	-0.034487	0.012561	-0.0020130	0.072407	0.035197	0.13881	0.18981	0.16431
