t	g1r1	g1r2	g1ave	g2r1	g4r1
0.19600	-0.45811	-0.14985	-0.45811	0.10173	0.050677
0.19800	-0.53844	-0.11772	-0.53844	-0.010638	0.050677
0.20000	-0.61876	-0.077557	-0.61876	-0.010638	-0.075035
0.20200	-0.65089	-0.037394	-0.65089	0.029495	-0.075035
0.20400	-0.53844	-0.077557	-0.53844	0.061601	-0.012179
0.20600	-0.61876	-0.077557	-0.61876	0.061601	0.22667
0.20800	-0.73122	-0.037394	-0.73122	0.061601	-0.012179
0.21000	-0.73122	-0.077557	-0.73122	0.061601	-0.012179
0.21200	-0.53844	-0.11772	-0.53844	0.029495	0.050677
0.21400	-0.73122	-0.19001	-0.73122	0.061601	0.050677
0.21600	-0.77138	-0.11772	-0.77138	0.10173	0.050677
0.21800	-0.81155	-0.077557	-0.81155	-0.050771	-0.012179
0.22000	-0.85171	-0.11772	-0.85171	-0.010638	-0.075035
0.22200	-0.85171	-0.14985	-0.85171	0.029495	0.050677
0.22400	-0.89187	-0.077557	-0.89187	0.061601	-0.13789
0.22600	-0.97220	-0.077557	-0.97220	-0.050771	-0.012179
0.22800	-0.97220	-0.11772	-0.97220	0.029495	-0.012179
0.23000	-1.0043	-0.14985	-1.0043	0.10173	0.11353
0.23200	-0.97220	-0.14985	-0.97220	0.061601	-0.075035
0.23400	-1.0847	-0.077557	-1.0847	-0.010638	-0.012179
0.23600	-1.0445	-0.11772	-1.0445	0.10173	-0.012179
0.23800	-1.1248	-0.11772	-1.1248	0.10173	0.050677
0.24000	-1.1650	-0.11772	-1.1650	0.061601	0.11353
0.24200	-1.1650	-0.11772	-1.1650	0.029495	0.050677
0.24400	-1.0847	-0.077557	-1.0847	0.029495	-0.012179
0.24600	-1.2051	-0.19001	-1.2051	0.029495	0.16382
0.24800	-1.2051	-0.14985	-1.2051	0.10173	-0.075035
0.25000	-1.2453	-0.19001	-1.2453	0.061601	0.11353
0.25200	-1.1650	-0.11772	-1.1650	0.029495	-0.075035
0.25400	-1.3578	-0.19001	-1.3578	0.061601	-0.13789
0.25600	-1.2855	-0.11772	-1.2855	0.10173	-0.012179
0.25800	-1.2855	-0.14985	-1.2855	0.061601	-0.012179
0.26000	-1.3979	-0.14985	-1.3979	0.10173	0.050677
0.26200	-1.4782	-0.11772	-1.4782	0.10173	0.050677
0.26400	-1.3979	-0.14985	-1.3979	0.061601	-0.012179
0.26600	-1.3578	-0.19001	-1.3578	0.10173	0.050677
0.26800	-1.4782	-0.19001	-1.4782	0.10173	0.050677
0.27000	-1.5987	-0.19001	-1.5987	0.061601	-0.012179
0.27200	-1.4782	-0.19001	-1.4782	0.029495	-0.075035
0.27400	-1.5987	-0.19001	-1.5987	0.061601	-0.012179
0.27600	-1.5586	-0.14985	-1.5586	0.061601	-0.075035
0.27800	-1.6710	-0.11772	-1.6710	0.10173	-0.20075
0.28000	-1.7112	-0.11772	-1.7112	-0.010638	-0.012179
0.28200	-1.7514	-0.11772	-1.7514	0.061601	-0.075035
0.28400	-1.7514	-0.14985	-1.7514	0.14187	-0.13789
0.28600	-1.8317	-0.11772	-1.8317	0.10173	-0.012179
0.28800	-1.8317	-0.11772	-1.8317	0.061601	-0.13789
0.29000	-1.8718	-0.11772	-1.8718	0.14187	0.11353
0.29200	-1.8718	-0.19001	-1.8718	0.14187	0.050677
0.29400	-2.0245	-0.14985	-2.0245	0.14187	-0.075035
0.29600	-1.9522	-0.14985	-1.9522	0.061601	0.050677
0.29800	-1.9923	-0.11772	-1.9923	0.10173	-0.012179
0.30000	-2.0245	-0.23018	-2.0245	0.14187	-0.012179
0.30200	-2.1851	-0.31050	-2.1851	0.10173	0.050677
0.30400	-2.1851	-0.27034	-2.1851	0.029495	-0.012179
0.30600	-2.1048	-0.23018	-2.1048	0.18200	0.050677
0.30800	-2.2654	-0.27034	-2.2654	0.10173	-0.012179
0.31000	-2.2253	-0.23018	-2.2253	0.14187	0.050677
0.31200	-2.2253	-0.23018	-2.2253	0.10173	0.050677
0.31400	-2.3377	-0.19001	-2.3377	0.18200	-0.012179
0.31600	-2.4181	-0.14985	-2.4181	0.10173	-0.075035
0.31800	-2.4181	-0.23018	-2.4181	0.18200	-0.012179
0.32000	-2.4181	-0.27034	-2.4181	0.061601	0.050677
0.32200	-2.4984	-0.27034	-2.4984	0.14187	-0.012179
0.32400	-2.5385	-0.23018	-2.5385	0.10173	-0.012179
0.32600	-2.4582	-0.27034	-2.4582	0.22213	-0.012179
0.32800	-2.5385	-0.27034	-2.5385	0.10173	-0.012179
0.33000	-2.5787	-0.23018	-2.5787	0.18200	0.11353
0.33200	-2.6912	-0.19001	-2.6912	0.14187	-0.075035
0.33400	-2.6912	-0.19001	-2.6912	0.14187	-0.075035
0.33600	-2.7313	-0.27034	-2.7313	0.10173	0.11353
