t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g4r1	g4r2	g4ave
0.0000	0.026140	-0.12910	-0.051479	-0.0042300	-0.10677	-0.055501	0.019255	-0.086333	-0.033539
0.0020000	0.21988	-0.048375	0.085752	0.18894	-0.026286	0.081325	0.38362	-0.14915	0.11723
0.0040000	0.26024	0.22609	0.24316	0.14869	0.17493	0.16181	0.32080	0.15239	0.23659
0.0060000	-0.13531	0.032349	-0.051480	-0.044473	0.013957	-0.015258	-0.16921	-0.023511	-0.096361
0.0080000	-0.094947	0.15344	0.029245	-0.0042300	0.17493	0.085350	-0.043567	0.039311	-0.0021280
0.0100000	-0.25640	0.15344	-0.051480	-0.12496	0.17493	0.024985	-0.29485	0.10213	-0.096360
0.012000	-0.40977	-0.12910	-0.26943	-0.16520	-0.066529	-0.11587	-0.34511	-0.21198	-0.27854
0.014000	-0.054584	-0.0080130	-0.031298	0.027965	-0.066529	-0.019282	0.019255	0.10213	0.060694
0.016000	-0.054584	-0.0080130	-0.031298	-0.044473	-0.10677	-0.075622	-0.10639	-0.023511	-0.064950
0.018000	0.058429	-0.24211	-0.091842	0.027965	-0.25970	-0.11587	0.082077	-0.27480	-0.096361
0.020000	0.30060	0.072711	0.18666	0.18894	-0.026286	0.081325	0.32080	-0.023511	0.14864
0.022000	0.098791	-0.088737	0.0050270	0.10845	-0.026286	0.041083	0.019255	-0.14915	-0.064950
0.024000	0.098791	-0.16139	-0.031299	0.10845	-0.10677	0.00083950	0.20772	-0.14915	0.029283
0.026000	0.13915	0.11307	0.12611	0.027965	0.094443	0.061204	0.20772	0.10213	0.15493
0.028000	-0.25640	-0.16139	-0.20889	-0.16520	-0.066529	-0.11587	-0.16921	-0.086333	-0.12777
0.030000	-0.014222	-0.0080130	-0.011117	-0.0042300	0.094443	0.045107	0.019255	0.10213	0.060694
0.032000	0.026140	0.22609	0.12611	-0.0042300	0.13469	0.065228	-0.10639	0.15239	0.023001
0.034000	-0.054584	0.11307	0.029245	-0.0042300	0.054200	0.024985	-0.16921	-0.023511	-0.096361
0.036000	0.13915	0.19380	0.16648	0.10845	0.13469	0.12157	0.20772	0.21521	0.21147
0.038000	0.026140	0.11307	0.069607	0.027965	0.054200	0.041083	0.019255	0.15239	0.085823
0.040000	-0.13531	-0.16139	-0.14835	-0.084716	-0.10677	-0.095744	-0.10639	-0.27480	-0.19059
0.042000	0.026140	-0.048375	-0.011117	0.027965	-0.026286	0.00083950	0.14490	-0.023511	0.060693
0.044000	-0.094947	-0.16139	-0.12817	-0.044473	-0.13897	-0.091720	-0.10639	-0.14915	-0.12777
0.046000	-0.094947	-0.28247	-0.18871	-0.0042300	-0.10677	-0.055501	0.019255	-0.27480	-0.12777
0.048000	0.13915	-0.0080130	0.065571	0.068208	0.054200	0.061204	0.14490	-0.023511	0.060693
0.050000	-0.054584	-0.12910	-0.091841	-0.084716	-0.10677	-0.095744	0.14490	-0.21198	-0.033539
0.052000	0.098791	0.072711	0.085751	-0.0042300	0.054200	0.024985	0.20772	0.10213	0.15493
0.054000	0.30060	0.26645	0.28353	0.14869	0.21517	0.18193	0.32080	0.27803	0.29942
0.056000	-0.13531	-0.0080130	-0.071661	-0.084716	-0.026286	-0.055501	0.019255	-0.023511	-0.0021280
0.058000	-0.054584	0.072711	0.0090635	-0.044473	0.013957	-0.015258	0.20772	-0.023511	0.092104
0.060000	-0.28868	0.11307	-0.087805	-0.16520	0.054200	-0.055501	-0.16921	0.039311	-0.064950
0.062000	-0.49049	-0.20175	-0.34612	-0.24569	-0.10677	-0.17623	-0.34511	-0.21198	-0.27854
0.064000	-0.094947	0.032349	-0.031299	-0.044473	0.054200	0.0048635	0.019255	0.039311	0.029283
0.066000	-0.014222	-0.088737	-0.051480	0.068208	0.013957	0.041083	-0.043567	-0.023511	-0.033539
0.068000	0.026140	-0.24211	-0.10799	0.068208	-0.13897	-0.035380	0.14490	-0.21198	-0.033539
0.070000	0.38133	0.19380	0.28756	0.22918	0.094443	0.16181	0.32080	0.10213	0.21147
0.072000	0.026140	-0.0080130	0.0090635	0.027965	-0.026286	0.00083950	-0.043567	-0.086333	-0.064950
0.074000	0.098791	-0.16139	-0.031299	0.10845	-0.10677	0.00083950	0.082077	-0.023511	0.029283
0.076000	0.13915	0.072711	0.10593	0.10845	-0.026286	0.041083	-0.043567	0.15239	0.054412
0.078000	-0.21603	-0.16139	-0.18871	-0.044473	-0.13897	-0.091720	-0.16921	-0.14915	-0.15918
0.080000	-0.054584	-0.12910	-0.091841	-0.0042300	-0.066529	-0.035379	0.082077	-0.023511	0.029283
0.082000	-0.054584	0.15344	0.049426	-0.0042300	0.13469	0.065228	-0.043567	0.10213	0.029283
0.084000	-0.17567	-0.0080130	-0.091842	-0.12496	0.17493	0.024985	-0.10639	-0.14915	-0.12777
0.086000	0.26024	0.15344	0.20684	0.14869	0.17493	0.16181	0.20772	0.10213	0.15493
0.088000	0.026140	0.15344	0.089788	-0.0042300	0.094443	0.045107	0.019255	0.10213	0.060694
0.090000	-0.21603	-0.12910	-0.17257	-0.084716	-0.10677	-0.095744	0.019255	-0.14915	-0.064950
0.092000	-0.014222	0.032349	0.0090635	-0.0042300	-0.066529	-0.035379	0.019255	0.039311	0.029283
0.094000	-0.13531	-0.24211	-0.18871	-0.084716	-0.21945	-0.15208	0.019255	-0.14915	-0.064950
0.096000	-0.13531	-0.24211	-0.18871	-0.084716	-0.13897	-0.11184	-0.043567	-0.21198	-0.12777
0.098000	0.21988	-0.0080130	0.10593	0.10845	-0.026286	0.041083	0.14490	0.039311	0.092104
0.10000	-0.014222	-0.16139	-0.087805	0.027965	-0.026286	0.00083950	0.082077	-0.086333	-0.0021280
