t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g4r1	g4r2	g4ave
0.11400	-0.062510	0.15026	0.043876	0.060078	0.079645	0.069862	-0.12834	0.11235	-0.0079975
0.11600	-0.26425	-0.0030610	-0.13366	-0.060637	0.079645	0.0095040	-0.43037	-0.13935	-0.28486
0.11800	-0.030231	-0.083758	-0.056994	0.10032	-0.00083200	0.049743	-0.0024940	0.17527	0.086388
0.12000	-0.14321	0.15026	0.0035285	0.019840	0.079645	0.049743	-0.24160	0.28853	0.023464
0.12200	-0.14321	-0.20480	-0.17400	-0.020398	-0.12155	-0.070973	-0.0024940	-0.20227	-0.10238
0.12400	0.21186	-0.083758	0.064051	0.18079	0.079645	0.13022	0.24920	-0.013501	0.11785
0.12600	-0.030231	-0.0030610	-0.016646	-0.020398	0.039406	0.0095040	-0.065417	0.11235	0.023465
0.12800	-0.062510	-0.16445	-0.11348	0.060078	-0.12155	-0.030734	-0.0024940	-0.13935	-0.070921
0.13000	0.25221	0.15026	0.20123	0.18079	0.27279	0.22679	0.18628	0.11235	0.14931
0.13200	-0.10286	0.10991	0.0035280	-0.020398	0.11988	0.049743	-0.065417	0.23819	0.086388
0.13400	-0.030231	-0.20480	-0.11752	0.060078	-0.15374	-0.046830	-0.0024940	-0.13935	-0.070921
0.13600	0.050466	0.15026	0.10036	0.060078	0.079645	0.069862	-0.12834	0.17527	0.023465
0.13800	-0.34495	-0.16445	-0.25470	-0.13307	-0.00083200	-0.066949	-0.36745	-0.13935	-0.25340
0.14000	0.010117	-0.35813	-0.17401	0.18079	-0.27445	-0.046830	-0.0024940	-0.31553	-0.15901
0.14200	-0.062510	0.029218	-0.016646	-0.060637	0.039406	-0.010615	-0.19126	0.049423	-0.070920
0.14400	-0.26425	-0.35813	-0.31119	-0.060637	-0.081309	-0.070973	-0.12834	-0.13935	-0.13384
0.14600	0.25221	-0.043409	0.10440	0.18079	-0.00083200	0.089981	0.060430	-0.076424	-0.0079970
0.14800	-0.14321	0.31166	0.084225	-0.060637	0.11988	0.029623	-0.19126	0.23819	0.023465
0.15000	-0.062510	-0.0030610	-0.032785	0.18079	0.079645	0.13022	-0.065417	0.11235	0.023465
0.15200	0.21186	0.15026	0.18106	0.22103	0.23255	0.22679	0.12335	0.23819	0.18077
0.15400	-0.18356	0.10991	-0.036821	0.019840	-0.00083200	0.0095040	-0.19126	0.17527	-0.0079970
0.15600	0.13116	-0.32585	-0.097343	0.25322	-0.12155	0.065838	0.060430	-0.20227	-0.070920
0.15800	0.050466	-0.12411	-0.036820	0.14055	0.039406	0.089980	-0.065417	-0.013501	-0.039459
0.16000	-0.26425	-0.20480	-0.23453	0.060078	-0.12155	-0.030734	-0.36745	-0.20227	-0.28486
0.16200	0.090814	-0.28550	-0.097343	0.14055	-0.23422	-0.046830	0.060430	-0.31553	-0.12755
0.16400	-0.22390	0.069566	-0.077169	-0.060637	0.11988	0.029623	-0.24160	0.049423	-0.096090
0.16600	-0.41758	-0.12411	-0.27084	-0.060637	0.039406	-0.010615	-0.36745	-0.13935	-0.25340
0.16800	-0.062510	-0.043409	-0.052960	0.019840	-0.12155	-0.050853	-0.0024940	-0.013501	-0.0079975
0.17000	-0.34495	0.10991	-0.11752	0.060078	0.11988	0.089980	-0.24160	0.28853	0.023464
0.17200	-0.30460	-0.28550	-0.29505	0.060078	-0.081309	-0.010615	-0.065417	-0.013501	-0.039459
0.17400	0.050466	-0.16445	-0.056994	0.18079	-0.081309	0.049743	0.24920	-0.13935	0.054926
0.17600	-0.34495	0.029218	-0.15787	0.10032	0.039406	0.069862	-0.19126	0.11235	-0.039459
0.17800	-0.18356	-0.32585	-0.25470	0.060078	-0.081309	-0.010615	0.060430	-0.076424	-0.0079970
0.18000	-0.030231	-0.0030610	-0.016646	0.18079	0.11988	0.15034	0.060430	0.049423	0.054926
0.18200	-0.41758	0.069566	-0.17400	-0.020398	-0.00083200	-0.010615	-0.24160	-0.013501	-0.12755
0.18400	-0.10286	-0.24515	-0.17400	-0.020398	-0.041070	-0.030734	-0.0024940	-0.076424	-0.039459
0.18600	-0.22390	-0.043409	-0.13366	0.060078	0.16012	0.11010	-0.065417	0.17527	0.054927
0.18800	-0.53862	-0.24515	-0.39189	-0.092828	-0.12155	-0.10719	-0.30453	-0.20227	-0.25340
0.19000	-0.18356	-0.47917	-0.33136	0.060078	-0.23422	-0.087069	-0.065417	-0.31553	-0.19048
0.19200	-0.41758	-0.20480	-0.31119	0.060078	0.039406	0.049742	-0.12834	-0.013501	-0.070921
0.19400	-0.49827	-0.47917	-0.48872	-0.060637	-0.15374	-0.10719	-0.30453	-0.37846	-0.34149
0.19600	-0.22390	-0.12411	-0.17400	0.22103	-0.081309	0.069862	-0.0024940	-0.013501	-0.0079975
0.19800	-0.61932	0.069566	-0.27488	0.019840	0.19231	0.10608	-0.19126	0.23819	0.023465
0.20000	-0.49827	-0.28550	-0.39189	0.10032	0.039406	0.069862	-0.12834	-0.076424	-0.10238
0.20200	-0.26425	0.069566	-0.097342	0.14055	0.16012	0.15034	0.060430	0.17527	0.11785
0.20400	-0.61932	-0.12411	-0.37171	0.019840	0.079645	0.049743	-0.12834	0.17527	0.023465
0.20600	-0.38530	-0.64056	-0.51293	0.18079	-0.12155	0.029624	-0.0024940	-0.25261	-0.12755
0.20800	-0.45792	-0.35813	-0.40803	0.14055	0.039406	0.089980	0.12335	-0.076424	0.023464
0.21000	-0.73229	-0.47917	-0.60573	-0.060637	-0.081309	-0.070973	-0.12834	-0.25261	-0.19048
0.21200	-0.53862	-0.79389	-0.66625	0.10032	-0.12155	-0.010615	0.060430	-0.20227	-0.070920
0.21400	-0.81299	-0.35813	-0.58556	-0.092828	0.079645	-0.0065915	-0.19126	0.049423	-0.070920
0.21600	-0.93403	-0.43882	-0.68643	-0.13307	-0.041070	-0.087068	-0.49330	-0.13935	-0.31632
0.21800	-0.77264	-0.39847	-0.58556	-0.020398	0.079645	0.029624	-0.065417	-0.013501	-0.039459
0.22000	-1.0147	-0.28550	-0.65012	-0.020398	0.23255	0.10608	-0.30453	0.28853	-0.0079975
0.22200	-0.81299	-0.71319	-0.76309	-0.060637	-0.081309	-0.070973	-0.12834	-0.31553	-0.22194
0.22400	-0.57897	-0.60022	-0.58959	0.18079	-0.041070	0.069862	0.24920	-0.013501	0.11785
0.22600	-0.77264	-0.60022	-0.68643	0.060078	0.039406	0.049742	-0.19126	0.11235	-0.039459
0.22800	-0.81299	-0.91493	-0.86396	0.10032	-0.12155	-0.010615	0.060430	-0.20227	-0.070920
0.23000	-0.73229	-0.55987	-0.64608	0.29346	0.079645	0.18655	0.18628	0.17527	0.18077
0.23200	-1.0874	-0.64056	-0.86396	-0.060637	0.079645	0.0095040	-0.24160	0.28853	0.023464
0.23400	-1.0147	-0.99563	-1.0052	0.18079	-0.041070	0.069862	0.060430	-0.20227	-0.070920
0.23600	-1.0551	-0.71319	-0.88414	0.10032	0.11988	0.11010	-0.19126	0.049423	-0.070920
0.23800	-1.4828	-0.99563	-1.2392	-0.13307	-0.00083200	-0.066949	-0.43037	-0.13935	-0.28486
0.24000	-1.2488	-1.3426	-1.2957	0.14055	-0.15374	-0.0065915	-0.12834	-0.25261	-0.19048
0.24200	-1.4424	-0.91493	-1.1787	-0.060637	0.039406	-0.010615	-0.30453	-0.013501	-0.15901
0.24400	-1.6038	-1.1490	-1.3764	-0.13307	-0.081309	-0.10719	-0.19126	-0.20227	-0.19677
0.24600	-1.1681	-1.0683	-1.1182	0.14055	0.079645	0.11010	0.060430	0.049423	0.054926
0.24800	-1.5635	-0.79389	-1.1787	-0.092828	0.23255	0.069862	-0.19126	0.35146	0.080096
0.25000	-1.4828	-1.1490	-1.3159	0.10032	0.039406	0.069862	-0.0024940	-0.013501	-0.0079975
0.25200	-1.2488	-0.91493	-1.0818	0.18079	0.16012	0.17046	0.24920	0.17527	0.21224
0.25400	-1.7249	-1.1086	-1.4167	-0.020398	0.079645	0.029624	-0.19126	0.17527	-0.0079970
0.25600	-1.5635	-1.5444	-1.5539	0.18079	-0.12155	0.029624	0.12335	-0.20227	-0.039459
0.25800	-1.5635	-1.3426	-1.4530	0.060078	-0.00083200	0.029623	0.060430	-0.013501	0.023465
0.26000	-2.0396	-1.6654	-1.8525	-0.060637	-0.12155	-0.091092	-0.24160	-0.013501	-0.12755
0.26200	-1.7249	-1.8187	-1.7718	0.060078	-0.19398	-0.066949	-0.065417	-0.25261	-0.15901
