t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g3r1	g3r2	g3ave	g4r1	g4r2	g4ave
0.086000	0.00040300	-0.20338	-0.10149	-0.031089	-0.010224	-0.020657	-0.11516	-0.16519	-0.14018	0.074365	-0.023910	0.025227
0.088000	0.15979	-0.012024	0.073881	-0.031089	-0.090387	-0.060738	0.25806	-0.10305	0.077508	0.011633	-0.086666	-0.037517
0.090000	0.11994	0.18731	0.15362	0.041095	0.18217	0.11163	0.30782	0.26984	0.28883	0.32529	0.28987	0.30758
0.092000	0.00040300	-0.043917	-0.021757	0.0090130	0.029858	0.019436	-0.052960	-0.10305	-0.078002	0.011633	-0.023910	-0.0061385
0.094000	0.00040300	0.26704	0.13372	-0.11129	0.061924	-0.024685	-0.052960	0.20769	0.077367	0.074365	0.16436	0.11936
0.096000	-0.071319	0.18731	0.057993	-0.031089	0.18217	0.075540	0.0092440	0.26984	0.13954	-0.16402	0.16436	0.00017101
0.098000	-0.27055	-0.12365	-0.19710	-0.19150	0.029858	-0.080821	-0.41374	-0.16519	-0.28947	-0.28948	-0.19963	-0.24455
0.10000	0.040249	0.027841	0.034045	0.0090130	-0.010224	-0.00060550	-0.052960	0.083398	0.015219	-0.038552	-0.086666	-0.062609
0.10200	-0.11117	-0.083783	-0.097474	0.041095	0.061924	0.051509	0.13365	-0.040897	0.046378	-0.22675	-0.14942	-0.18809
0.10400	-0.23070	-0.35487	-0.29279	-0.071192	-0.13047	-0.10083	-0.052960	-0.46350	-0.25823	-0.10128	-0.38790	-0.24459
0.10600	0.11994	0.027841	0.073890	0.081198	-0.010224	0.035487	0.19586	0.021250	0.10855	0.13710	-0.086666	0.025215
0.10800	-0.23070	-0.16351	-0.19711	-0.11129	0.029858	-0.040718	-0.17737	0.021250	-0.078059	0.011633	-0.086666	-0.037517
0.11000	0.00040300	-0.083783	-0.041690	0.0090130	-0.010224	-0.00060550	0.071448	-0.21491	-0.071732	-0.038552	-0.023910	-0.031231
0.11200	0.040249	0.22717	0.13371	0.0090130	0.14209	0.075550	0.13365	0.14555	0.13960	0.13710	0.22711	0.18211
0.11400	-0.19086	-0.083783	-0.13732	-0.071192	-0.050305	-0.060748	-0.17737	-0.040897	-0.10913	-0.16402	-0.023910	-0.093963
0.11600	0.040249	0.027841	0.034045	-0.031089	0.061924	0.015417	-0.052960	0.021250	-0.015855	0.19983	-0.023910	0.087959
0.11800	0.040249	0.22717	0.13371	0.041095	0.10200	0.071550	0.19586	0.14555	0.17070	0.13710	0.22711	0.18211
0.12000	-0.11117	-0.20338	-0.15727	-0.031089	-0.090387	-0.060738	0.0092440	-0.040897	-0.015827	-0.10128	-0.14942	-0.12535
0.12200	0.080094	0.10757	0.093834	-0.031089	0.061924	0.015417	0.071448	0.083398	0.077423	0.19983	0.10160	0.15072
0.12400	-0.031473	0.067707	0.018117	-0.11129	0.061924	-0.024685	-0.11516	0.083398	-0.015883	-0.22675	-0.023910	-0.12533
0.12600	-0.38212	-0.20338	-0.29275	-0.19150	-0.050305	-0.12090	-0.23957	-0.16519	-0.20238	-0.22675	-0.26238	-0.24457
0.12800	0.00040300	0.14744	0.073921	0.081198	0.10200	0.091601	-0.11516	0.083398	-0.015883	-0.16402	-0.023910	-0.093963
0.13000	-0.23070	-0.20338	-0.21704	-0.11129	-0.010224	-0.060759	-0.35154	-0.10305	-0.22729	-0.22675	-0.14942	-0.18809
0.13200	-0.27055	-0.28311	-0.27683	-0.031089	-0.090387	-0.060738	-0.11516	-0.10305	-0.10910	-0.28948	-0.32514	-0.30731
0.13400	0.040249	0.067707	0.053978	0.12130	0.029858	0.075579	0.25806	0.021250	0.13966	0.074365	-0.023910	0.025227
0.13600	0.040249	-0.28311	-0.12143	0.041095	-0.090387	-0.024646	0.13365	-0.33921	-0.10278	0.011633	-0.26238	-0.12538
0.13800	0.080094	-0.16351	-0.041710	0.16140	-0.050305	0.055549	0.19586	0.021250	0.10855	0.19983	0.038846	0.11934
0.14000	0.15979	0.26704	0.21341	0.16140	0.22225	0.19183	0.25806	0.20769	0.23288	0.38802	0.28987	0.33895
0.14200	-0.15101	-0.12365	-0.13733	-0.11129	-0.010224	-0.060759	-0.052960	-0.16519	-0.10908	-0.038552	-0.023910	-0.031231
0.14400	-0.23070	0.10757	-0.061564	0.0090130	0.061924	0.035469	-0.052960	0.20769	0.077367	0.011633	0.28987	0.15075
0.14600	-0.071319	0.22717	0.077926	-0.031089	0.14209	0.055499	-0.11516	0.26984	0.077338	-0.10128	0.16436	0.031537
0.14800	-0.46181	-0.20338	-0.33259	-0.31181	-0.050305	-0.18106	-0.17737	-0.27706	-0.22721	-0.35221	-0.19963	-0.27592
0.15000	-0.15101	-0.043917	-0.097464	-0.031089	0.029858	-0.00061550	-0.052960	0.021250	-0.015855	-0.038552	-0.023910	-0.031231
0.15200	-0.15101	-0.083783	-0.11740	-0.15140	-0.050305	-0.10085	-0.17737	-0.040897	-0.10913	-0.10128	-0.086666	-0.093975
0.15400	-0.27055	-0.43460	-0.35257	-0.071192	-0.090387	-0.080789	-0.17737	-0.40135	-0.28936	-0.10128	-0.32514	-0.21321
0.15600	0.11994	-0.012024	0.053958	0.20151	0.029858	0.11568	0.25806	0.083398	0.17073	0.13710	0.038846	0.087972
0.15800	-0.071319	-0.12365	-0.097484	0.0090130	-0.090387	-0.040687	-0.052960	-0.040897	-0.046929	0.011633	-0.19963	-0.093998
0.16000	-0.15101	-0.24325	-0.19713	0.041095	-0.010224	0.015436	-0.11516	-0.21491	-0.16504	-0.16402	-0.14942	-0.15672
0.16200	-0.031473	0.14744	0.057983	0.16140	0.18217	0.17179	0.13365	0.44385	0.28875	0.011633	0.22711	0.11937
0.16400	-0.19086	-0.12365	-0.15725	-0.031089	0.029858	-0.00061550	-0.11516	-0.040897	-0.078030	-0.10128	-0.086666	-0.093975
0.16600	-0.071319	-0.083783	-0.077551	0.12130	0.029858	0.075579	0.19586	-0.10305	0.046406	0.074365	-0.023910	0.025227
0.16800	-0.071319	0.10757	0.018127	0.12130	0.14209	0.13169	0.13365	0.26984	0.20175	0.26256	0.22711	0.24484
0.17000	-0.27055	-0.20338	-0.23696	-0.031089	-0.050305	-0.040697	0.0092440	-0.10305	-0.046900	0.011633	-0.14942	-0.068895
0.17200	-0.071319	-0.043917	-0.057618	-0.031089	0.10200	0.035458	0.19586	-0.040897	0.077480	0.13710	0.16436	0.15073
0.17400	-0.31039	-0.083783	-0.19709	-0.031089	0.061924	0.015417	-0.11516	0.021250	-0.046957	-0.10128	0.038846	-0.031219
0.17600	-0.42196	-0.28311	-0.35254	-0.19150	-0.090387	-0.14094	-0.35154	-0.10305	-0.22729	-0.22675	-0.19963	-0.21319
0.17800	-0.42196	0.027841	-0.19706	-0.15140	0.14209	-0.0046550	-0.052960	-0.040897	-0.046929	-0.038552	0.038846	0.00014700
0.18000	-0.54150	-0.24325	-0.39237	-0.11129	-0.050305	-0.080800	-0.23957	-0.040897	-0.14023	-0.35221	-0.14942	-0.25082
0.18200	-0.50165	-0.39474	-0.44819	-0.15140	-0.17055	-0.16097	-0.23957	-0.16519	-0.20238	-0.038552	-0.26238	-0.15047
0.18400	-0.11117	-0.083783	-0.097474	0.12130	0.10200	0.11165	0.25806	0.083398	0.17073	0.011633	0.038846	0.025240
0.18600	-0.27055	-0.28311	-0.27683	0.12130	-0.050305	0.035497	0.071448	-0.10305	-0.015799	0.011633	-0.14942	-0.068895
0.18800	-0.071319	-0.20338	-0.13735	0.12130	0.029858	0.075579	0.0092440	-0.040897	-0.015827	0.13710	-0.023910	0.056594
0.19000	-0.071319	0.10757	0.018127	0.16140	0.18217	0.17179	0.13365	0.14555	0.13960	0.19983	0.22711	0.21347
0.19200	-0.46181	-0.16351	-0.31266	0.081198	0.029858	0.055528	-0.052960	0.021250	-0.015855	-0.10128	-0.023910	-0.062597
0.19400	-0.38212	0.027841	-0.17714	0.041095	0.14209	0.091591	0.0092440	0.14555	0.077395	-0.038552	0.28987	0.12566
