0.00	0.00
0.03	0.44
0.07	2.87
0.10	7.94
0.14	15.45
0.17	25.38
0.21	39.06
0.24	55.61
0.28	73.93
0.31	95.56
0.34	121.16
0.38	149.41
0.41	179.87
0.45	214.29
0.48	252.25
0.52	292.42
0.55	332.36
0.59	371.65
0.62	410.71
0.66	449.33
